region,lat,lon,tile_basename,hand_lambda_m,chosen_lambda_m,chosen_crest_az_deg,chosen_prom_frac,chosen_rel_power,within_tol,confidence,pct_diff_from_hand,n_candidates,all_candidates
AlNafudDesert,27.5,39.25,AlNafudDesert_lat27p50_lon39p25,1800.0,1802.0,148.8,0.594,0.115,True,high,0.1,16,117@261(p1.00);334@156(p0.27);474@246(p0.19);532@111(p0.28);711@266(p0.58);951@261(p0.82);1132@126(p0.28);1802@149(p0.59);2273@106(p0.77);2706@96(p0.57);3040@256(p1.00);3414@236(p1.00);3835@261(p1.00);4565@91(p1.00);5434@91(p1.00);6855@106(p1.00)
AlNafudDesert,27.5,39.5,AlNafudDesert_lat27p50_lon39p50,2300.0,2409.3,233.8,0.655,0.04,True,high,4.8,17,99@249(p1.00);315@214(p0.27);422@131(p0.18);564@134(p0.51);847@111(p0.32);1008@256(p0.76);1132@236(p0.16);1272@214(p0.37);1700@236(p0.76);2024@126(p0.50);2409@234(p0.66);3221@246(p0.99);3835@251(p1.00);4307@249(p1.00);5434@91(p1.00);6855@254(p1.00);8648@249(p1.00)
AlNafudDesert,27.75,39.25,AlNafudDesert_lat27p75_lon39p25,1700.0,1802.0,153.8,0.65,0.155,True,high,6.0,14,99@239(p0.98);354@149(p0.38);532@221(p0.35);711@209(p0.22);799@236(p0.70);1132@236(p0.84);1802@154(p0.65);3040@149(p0.82);3414@106(p0.89);4064@216(p1.00);4565@161(p1.00);5127@114(p1.00);6103@194(p1.00);7265@149(p1.00)
AlNafudDesert,27.75,39.5,AlNafudDesert_lat27p75_lon39p50,1200.0,1271.7,131.2,0.825,0.403,True,high,6.0,14,99@239(p0.99);447@199(p0.39);633@229(p0.44);897@229(p0.76);1272@131(p0.82);1428@239(p0.19);1910@226(p0.63);2706@264(p0.75);3618@211(p0.99);4064@164(p1.00);5127@214(p1.00);6103@194(p1.00);7265@149(p1.00);8648@111(p1.00)
AlNafudDesert,27.75,39.75,AlNafudDesert_lat27p75_lon39p75,1300.0,1513.8,121.2,0.279,0.139,True,high,16.4,20,99@246(p1.00);315@224(p0.19);375@229(p0.19);474@219(p0.38);564@96(p0.33);799@239(p0.56);1068@254(p0.66);1514@121(p0.28);1802@124(p0.37);2024@114(p0.19);2273@229(p0.55);2706@196(p0.26);3040@231(p0.58);3414@226(p0.24);4064@164(p0.71);4565@221(p0.86);5127@114(p1.00);6103@194(p1.00);6855@106(p1.00);8648@111(p1.00)
AlNafudDesert,27.75,40.25,AlNafudDesert_lat27p75_lon40p25,1400.0,1347.7,151.2,0.455,0.026,True,high,3.7,16,105@254(p1.00);422@244(p0.31);564@239(p0.50);754@264(p0.54);897@254(p0.24);1132@139(p0.58);1348@151(p0.46);1802@244(p0.58);2024@136(p0.30);2706@239(p0.89);3040@91(p0.23);3835@251(p0.68);4307@249(p1.00);5127@246(p1.00);6855@254(p1.00);8648@249(p1.00)
AlNafudDesert,27.75,40.75,AlNafudDesert_lat27p75_lon40p75,800.0,711.4,116.2,0.714,0.123,True,high,11.1,19,93@99(p1.00);250@96(p0.20);298@99(p0.46);334@106(p0.28);375@241(p0.27);447@109(p0.55);502@261(p0.62);711@116(p0.71);1068@91(p0.80);1428@114(p0.65);2145@104(p0.87);2553@234(p1.00);2868@234(p1.00);3414@91(p1.00);4064@91(p1.00);4565@91(p1.00);5759@91(p1.00);6855@91(p1.00);9166@91(p1.00)
AlNafudDesert,27.75,41.25,AlNafudDesert_lat27p75_lon41p25,1000.0,951.1,181.2,0.426,0.341,True,high,4.9,16,354@181(p0.33);532@181(p0.26);598@181(p0.25);847@181(p0.44);951@181(p0.43);1068@181(p0.41);1910@181(p1.00);2273@181(p1.00);2553@181(p1.00);2868@181(p0.44);3221@181(p0.48);3618@181(p1.00);4307@181(p1.00);5127@181(p1.00);6468@181(p1.00);8160@181(p1.00)
AlNafudDesert,28.0,39.5,AlNafudDesert_lat28p00_lon39p50,2100.0,2024.0,91.2,0.969,0.638,True,high,3.6,21,105@244(p0.59);265@91(p0.23);447@91(p0.19);502@91(p0.35);711@91(p0.31);799@91(p0.80);951@91(p0.54);1132@91(p0.29);1272@91(p0.30);1428@91(p1.00);1604@91(p0.29);1802@91(p0.50);2024@91(p0.97);2553@91(p0.95);3040@91(p1.00);3414@91(p1.00);4064@91(p1.00);4565@91(p1.00);5434@91(p1.00);6855@91(p1.00);9166@91(p1.00)
AlNafudDesert,28.0,39.75,AlNafudDesert_lat28p00_lon39p75,1800.0,1513.8,91.2,0.685,0.865,True,high,15.9,18,105@241(p0.74);281@91(p0.21);447@91(p0.35);532@91(p0.28);633@91(p0.23);799@91(p0.41);1132@91(p1.00);1272@91(p0.30);1514@91(p0.68);2273@91(p0.77);2553@91(p1.00);3040@91(p0.86);3414@91(p1.00);4064@91(p1.00);4565@91(p1.00);5434@91(p1.00);6855@91(p1.00);9166@91(p1.00)
AlNafudDesert,28.0,40.75,AlNafudDesert_lat28p00_lon40p75,700.0,671.2,91.2,0.288,0.479,True,high,4.1,16,88@259(p0.81);422@91(p0.22);598@91(p0.28);671@91(p0.29);951@91(p1.00);1272@91(p0.16);1428@91(p0.68);2273@91(p0.56);2553@91(p1.00);2868@91(p1.00);3414@91(p1.00);4064@91(p1.00);4565@91(p1.00);5759@91(p1.00);6855@91(p1.00);9166@91(p1.00)
AlNafudDesert,28.25,39.5,AlNafudDesert_lat28p25_lon39p50,800.0,753.9,171.2,0.387,0.296,True,high,5.8,18,125@216(p0.44);187@184(p0.19);236@171(p0.30);315@189(p0.52);633@219(p0.55);754@171(p0.39);951@199(p0.47);1068@199(p0.35);1348@191(p1.00);1802@211(p0.44);2024@234(p0.44);2409@194(p0.20);3221@216(p0.65);3618@211(p0.24);4064@119(p0.95);4565@124(p1.00);6103@221(p1.00);7700@196(p1.00)
AlNafudDesert,28.25,39.75,AlNafudDesert_lat28p25_lon39p75,1800.0,1802.0,173.8,0.762,0.08,True,high,0.1,12,105@251(p1.00);564@164(p0.48);799@254(p0.62);1200@194(p0.63);1802@174(p0.76);2273@259(p0.70);3414@236(p0.54);3835@204(p0.52);4565@101(p1.00);5434@104(p1.00);6855@91(p1.00);8648@111(p1.00)
AlNafudDesert,28.25,40.25,AlNafudDesert_lat28p25_lon40p25,1500.0,1347.7,256.2,0.706,0.033,True,high,10.2,15,105@251(p1.00);375@241(p0.19);502@254(p0.27);598@244(p0.40);1068@254(p0.54);1348@256(p0.71);1700@184(p0.75);2409@241(p0.47);3040@221(p0.77);3414@194(p0.54);3835@251(p0.93);5127@146(p1.00);6103@194(p1.00);6855@254(p1.00);8648@111(p1.00)
AlNafudDesert,28.25,40.5,AlNafudDesert_lat28p25_lon40p50,900.0,1008.0,223.8,0.25,0.02,True,high,12.0,14,88@246(p1.00);671@266(p0.21);754@259(p0.20);1008@224(p0.25);1272@184(p0.34);1428@166(p0.76);2024@246(p0.71);2706@251(p0.84);3414@194(p0.79);3835@204(p1.00);4565@124(p0.17);5127@214(p1.00);6855@106(p1.00);8648@249(p1.00)
AlNafudDesert,28.25,41.5,AlNafudDesert_lat28p25_lon41p50,1700.0,1604.3,266.2,1.0,1.0,True,high,5.6,17,78@264(p0.94);250@259(p0.20);298@239(p0.24);375@266(p0.23);447@234(p0.26);598@264(p0.46);754@91(p0.23);951@266(p0.89);1132@261(p0.23);1604@266(p1.00);2024@266(p0.81);2553@259(p0.81);3040@264(p0.69);3414@99(p1.00);4064@164(p1.00);4565@101(p1.00);5434@131(p1.00)
AlNafudDesert,28.25,41.75,AlNafudDesert_lat28p25_lon41p75,1000.0,1008.0,261.2,0.15,0.152,True,high,0.8,15,88@254(p0.93);334@261(p0.24);422@251(p0.28);502@254(p0.39);564@251(p0.26);754@264(p0.47);1008@261(p0.15);1604@261(p1.00);2868@91(p0.67);3414@201(p1.00);3835@251(p1.00);4307@249(p0.93);5434@229(p1.00);6855@254(p1.00);8648@249(p1.00)
AlNafudDesert,28.25,42.25,AlNafudDesert_lat28p25_lon42p25,1600.0,1700.3,91.2,0.923,0.345,True,high,6.3,15,88@94(p1.00);422@99(p0.42);532@104(p0.37);897@91(p0.54);1068@91(p0.48);1200@119(p0.21);1348@131(p0.43);1700@91(p0.92);2409@254(p0.56);3040@104(p1.00);4064@216(p1.00);4565@209(p1.00);5759@91(p1.00);7265@211(p1.00);9166@91(p1.00)
AlNafudDesert,28.5,39.75,AlNafudDesert_lat28p50_lon39p75,1500.0,1428.4,161.2,0.677,0.605,True,high,4.8,18,39@229(p0.39);298@151(p0.24);354@154(p0.25);474@154(p0.53);598@144(p0.22);711@149(p1.00);1200@156(p0.17);1428@161(p0.68);2024@164(p0.23);2273@229(p0.34);2553@159(p0.46);2868@111(p0.79);3221@114(p0.94);3835@164(p1.00);4565@124(p0.87);5127@114(p1.00);5759@156(p1.00);7265@149(p1.00)
AlNafudDesert,28.5,40.25,AlNafudDesert_lat28p50_lon40p25,1200.0,1008.0,251.2,0.748,0.077,True,high,16.0,16,105@254(p1.00);502@249(p0.31);598@249(p0.26);799@211(p0.41);1008@251(p0.75);1514@91(p0.47);2024@91(p0.29);2273@101(p0.55);2553@246(p0.67);3040@264(p0.34);3414@236(p0.62);3835@234(p0.84);4307@249(p1.00);5127@214(p1.00);6855@254(p1.00);8648@249(p1.00)
AlNafudDesert,28.5,40.5,AlNafudDesert_lat28p50_lon40p50,1000.0,1008.0,261.2,0.692,0.06,True,high,0.8,15,93@259(p1.00);210@261(p0.28);447@139(p0.35);633@141(p0.42);711@136(p0.30);1008@261(p0.69);1514@259(p0.54);1910@256(p0.92);2553@259(p0.53);3040@149(p1.00);3414@144(p1.00);3835@126(p1.00);4565@139(p1.00);5434@256(p1.00);6855@254(p1.00)
AlNafudDesert,28.5,41.25,AlNafudDesert_lat28p50_lon41p25,1500.0,1347.7,181.2,0.401,0.927,True,high,10.2,18,41@181(p0.18);236@181(p0.19);375@181(p0.16);532@181(p0.25);598@181(p0.24);847@181(p0.45);951@181(p0.44);1068@181(p1.00);1348@181(p0.40);1910@181(p0.41);2273@181(p1.00);2553@181(p1.00);3040@181(p1.00);3618@181(p1.00);4064@181(p1.00);5127@181(p1.00);6103@181(p1.00);8160@181(p1.00)
AlNafudDesert,28.5,41.5,AlNafudDesert_lat28p50_lon41p50,1600.0,1513.8,266.2,0.382,0.496,True,high,5.4,17,78@264(p0.84);223@246(p0.26);281@256(p0.19);474@234(p0.19);598@246(p0.29);711@94(p0.65);951@254(p0.48);1272@99(p1.00);1514@266(p0.38);2024@261(p0.37);2553@91(p0.53);2868@234(p1.00);4064@216(p1.00);4565@236(p1.00);5759@91(p1.00);7265@211(p1.00);9166@139(p1.00)
AlNafudDesert,28.5,41.75,AlNafudDesert_lat28p50_lon41p75,1100.0,1199.9,261.2,0.543,0.613,True,high,9.1,17,78@256(p0.88);334@244(p0.16);564@256(p0.24);711@261(p0.66);799@99(p0.19);951@264(p0.17);1200@261(p0.54);1604@264(p1.00);1802@261(p0.31);2145@256(p0.68);2553@91(p0.47);2868@234(p0.18);3414@226(p1.00);4064@91(p1.00);4565@221(p1.00);5434@256(p1.00);6855@106(p1.00)
AlNafudDesert,28.5,42.0,AlNafudDesert_lat28p50_lon42p00,1000.0,951.1,181.2,0.402,0.757,True,high,4.9,19,41@264(p0.45);157@181(p0.18);398@181(p0.26);447@181(p0.25);598@181(p0.23);847@181(p0.50);951@181(p0.40);1068@181(p1.00);1700@181(p0.53);1910@181(p0.23);2145@181(p1.00);2553@181(p1.00);2868@181(p1.00);3221@181(p1.00);3618@181(p1.00);4307@181(p1.00);5127@181(p1.00);6468@181(p1.00);8160@181(p1.00)
AlNafudDesert,28.75,39.5,AlNafudDesert_lat28p75_lon39p50,1800.0,1700.3,241.2,0.72,0.11,True,high,5.5,18,117@96(p1.00);354@126(p0.48);502@106(p0.42);711@121(p0.33);847@261(p0.60);951@121(p0.23);1272@129(p0.81);1428@129(p0.44);1700@241(p0.72);2273@96(p0.97);2553@96(p0.72);3040@96(p1.00);3414@91(p1.00);4064@91(p1.00);4565@91(p1.00);5434@91(p1.00);6855@91(p1.00);9166@91(p1.00)
AlNafudDesert,28.75,39.75,AlNafudDesert_lat28p75_lon39p75,1300.0,1271.7,166.2,0.171,0.269,True,high,2.2,20,99@91(p1.00);250@161(p0.15);375@124(p0.41);474@161(p0.26);564@126(p0.57);711@106(p0.45);847@116(p0.45);1008@129(p0.81);1132@129(p0.22);1272@166(p0.17);1604@144(p0.56);2145@136(p0.53);2553@146(p1.00);3040@256(p0.80);3414@181(p1.00);4064@91(p1.00);4565@91(p1.00);5434@229(p1.00);6855@254(p1.00);9166@91(p1.00)
Chad,13.0,15.25,Chad_lat13p00_lon15p25,2000.0,1802.0,121.2,0.242,0.6,True,high,9.9,17,223@131(p0.78);281@151(p0.33);398@134(p0.25);532@109(p0.22);847@126(p0.40);1068@144(p0.47);1272@131(p0.63);1514@169(p0.22);1802@121(p0.24);2409@136(p0.83);3221@126(p1.00);3835@146(p0.64);4307@251(p1.00);4838@121(p1.00);5434@169(p1.00);6468@166(p1.00);7700@124(p1.00)
Chad,13.0,15.5,Chad_lat13p00_lon15p50,1800.0,1513.8,136.2,0.778,0.432,True,high,15.9,15,187@136(p0.16);250@136(p0.92);598@141(p0.33);951@251(p0.26);1272@114(p0.30);1514@136(p0.78);2145@136(p0.46);2409@144(p0.85);3221@144(p0.32);3835@99(p0.97);4307@129(p1.00);4838@121(p1.00);5434@101(p1.00);6468@224(p1.00);7700@214(p1.00)
Chad,13.25,15.25,Chad_lat13p25_lon15p25,2000.0,2024.0,106.2,1.0,1.0,True,high,1.2,13,117@146(p0.16);236@144(p0.22);422@114(p0.47);711@129(p0.24);897@106(p0.49);1348@96(p0.56);1802@101(p0.18);2024@106(p1.00);3835@224(p0.90);5127@249(p1.00);6103@154(p1.00);6855@181(p1.00);8648@199(p1.00)
Chad,13.25,15.5,Chad_lat13p25_lon15p50,1000.0,1008.0,156.2,0.295,0.27,True,high,0.8,17,315@156(p0.32);474@134(p0.17);598@154(p0.34);711@131(p0.95);897@139(p0.47);1008@156(p0.30);1272@229(p0.34);1514@96(p0.49);2273@204(p0.49);2706@151(p0.28);3040@131(p1.00);3618@114(p0.42);4307@161(p1.00);4838@239(p1.00);5434@91(p1.00);6468@224(p1.00);7700@214(p1.00)
Chad,13.25,15.75,Chad_lat13p25_lon15p75,700.0,671.2,126.2,0.391,0.909,True,high,4.1,16,281@126(p0.56);564@129(p0.96);671@126(p0.39);847@129(p0.42);1132@114(p0.55);1514@146(p0.23);1802@254(p0.40);2145@136(p0.57);2409@121(p0.58);3040@139(p0.59);3835@196(p0.28);4307@199(p0.88);4838@136(p1.00);5434@169(p1.00);6103@206(p1.00);7700@214(p1.00)
