region,lat,lon,tile_basename,mode_index,lambda_m,crest_az_deg,rel_power,spectral_intensity,prom_frac,theta_image_deg
AlNafudDesert,27.5,39.25,AlNafudDesert_lat27p50_lon39p25,1,110.8584935,253.75,1,25149206.28,0.976486459,73.75
AlNafudDesert,27.5,39.25,AlNafudDesert_lat27p50_lon39p25,2,671.2145829,126.25,0.288266168,7249665.318,0.253911223,-53.75
AlNafudDesert,27.5,39.25,AlNafudDesert_lat27p50_lon39p25,3,2706.152597,96.25,0.005953582,149727.8705,0.487548143,-83.75
AlNafudDesert,27.5,39.25,AlNafudDesert_lat27p50_lon39p25,4,4564.690847,91.25,0.001075803,27055.59437,0.820804936,-88.75
AlNafudDesert,27.5,39.25,AlNafudDesert_lat27p50_lon39p25,5,6855.085589,106.25,0.000279947,7040.451482,1,-73.75
AlNafudDesert,27.5,39.25,AlNafudDesert_lat27p50_lon39p25,6,9165.513867,138.75,0.000116223,2922.913828,0.535659882,-41.25
AlNafudDesert,27.5,39.5,AlNafudDesert_lat27p50_lon39p50,1,98.69869206,248.75,1,23902550.76,0.986079982,68.75
AlNafudDesert,27.5,39.5,AlNafudDesert_lat27p50_lon39p50,2,563.8648481,133.75,0.272560741,6514896.936,0.323638239,-46.25
AlNafudDesert,27.5,39.5,AlNafudDesert_lat27p50_lon39p50,3,2706.152597,138.75,0.002278055,54451.32716,0.227292476,-41.25
AlNafudDesert,27.5,39.5,AlNafudDesert_lat27p50_lon39p50,4,4064.000891,241.25,0.000731252,17478.77615,0.718231633,61.25
AlNafudDesert,27.5,39.5,AlNafudDesert_lat27p50_lon39p50,5,5433.725959,91.25,0.000425179,10162.85639,0.722026485,-88.75
AlNafudDesert,27.5,39.5,AlNafudDesert_lat27p50_lon39p50,6,9165.513867,91.25,0.000209741,5013.35635,1,-88.75
AlNafudDesert,27.75,39.25,AlNafudDesert_lat27p75_lon39p25,1,104.6020474,253.75,1,24170453.13,0.982371792,73.75
AlNafudDesert,27.75,39.25,AlNafudDesert_lat27p75_lon39p25,2,1700.286015,151.25,0.037623282,909371.7672,0.217817053,-28.75
AlNafudDesert,27.75,39.25,AlNafudDesert_lat27p75_lon39p25,3,2706.152597,191.25,0.003834037,92670.41481,0.388266145,11.25
AlNafudDesert,27.75,39.25,AlNafudDesert_lat27p75_lon39p25,4,4564.690847,161.25,0.000455043,10998.59837,0.586518545,-18.75
AlNafudDesert,27.75,39.25,AlNafudDesert_lat27p75_lon39p25,5,7699.640646,163.75,0.000132314,3198.091821,1,-16.25
AlNafudDesert,27.75,39.5,AlNafudDesert_lat27p75_lon39p50,1,93.12850046,243.75,1,31761375.11,0.97929616,63.75
AlNafudDesert,27.75,39.5,AlNafudDesert_lat27p75_lon39p50,2,473.6839381,221.25,0.328361712,10429219.51,0.239785514,41.25
AlNafudDesert,27.75,39.5,AlNafudDesert_lat27p75_lon39p50,3,2706.152597,263.75,0.005053704,160512.5778,0.325253371,83.75
AlNafudDesert,27.75,39.5,AlNafudDesert_lat27p75_lon39p50,4,4064.000891,163.75,0.001011407,32123.69073,0.669187956,-16.25
AlNafudDesert,27.75,39.5,AlNafudDesert_lat27p75_lon39p50,5,6103.167745,138.75,0.000115549,3669.983286,0.803131479,-41.25
AlNafudDesert,27.75,39.5,AlNafudDesert_lat27p75_lon39p50,6,9165.513867,91.25,2.45E-05,779.2568839,0.571041713,-88.75
AlNafudDesert,27.75,39.75,AlNafudDesert_lat27p75_lon39p75,1,98.69869206,246.25,1,69917072.2,0.984875411,66.25
AlNafudDesert,27.75,39.75,AlNafudDesert_lat27p75_lon39p75,2,473.6839381,218.75,0.194544753,13601999.58,0.221357322,38.75
AlNafudDesert,27.75,39.75,AlNafudDesert_lat27p75_lon39p75,3,2706.152597,196.25,0.001501219,104960.8184,0.384533186,16.25
AlNafudDesert,27.75,39.75,AlNafudDesert_lat27p75_lon39p75,4,4064.000891,163.75,0.000184526,12901.51688,0.49271877,-16.25
AlNafudDesert,27.75,39.75,AlNafudDesert_lat27p75_lon39p75,5,6103.167745,193.75,9.59E-05,6707.313892,0.689004326,13.75
AlNafudDesert,27.75,39.75,AlNafudDesert_lat27p75_lon39p75,6,9165.513867,91.25,1.57E-05,1095.91941,1,-88.75
AlNafudDesert,27.75,40.25,AlNafudDesert_lat27p75_lon40p25,1,98.69869206,253.75,1,52710845.76,0.990391131,73.75
AlNafudDesert,27.75,40.25,AlNafudDesert_lat27p75_lon40p25,2,2706.152597,238.75,0.000579165,30528.25864,0.442193933,58.75
AlNafudDesert,27.75,40.25,AlNafudDesert_lat27p75_lon40p25,3,4064.000891,91.25,9.01E-05,4747.424685,0.445285988,-88.75
AlNafudDesert,27.75,40.25,AlNafudDesert_lat27p75_lon40p25,4,5433.725959,91.25,2.80E-05,1475.994032,0.608087338,-88.75
AlNafudDesert,27.75,40.25,AlNafudDesert_lat27p75_lon40p25,5,8160.170704,181.25,2.91E-05,1535.597077,1,1.25
AlNafudDesert,27.75,40.75,AlNafudDesert_lat27p75_lon40p75,1,93.12850046,98.75,1,24514407.83,0.981910388,-81.25
AlNafudDesert,27.75,40.75,AlNafudDesert_lat27p75_lon40p75,2,1428.353227,113.75,0.028810479,706271.8315,0.383279418,-66.25
AlNafudDesert,27.75,40.75,AlNafudDesert_lat27p75_lon40p75,3,3414.030779,98.75,0.002011904,49320.62467,0.733671046,-81.25
AlNafudDesert,27.75,40.75,AlNafudDesert_lat27p75_lon40p75,4,4564.690847,91.25,0.000559596,13718.17418,0.759186268,-88.75
AlNafudDesert,27.75,40.75,AlNafudDesert_lat27p75_lon40p75,5,6855.085589,91.25,0.000297091,7283.011191,1,-88.75
