intermittency,hysteresis,growth_law,mean_log10_err,n_fields,n_points,median_age_yr
raw,without,linear,0.5163226467593451,5,1005,511129.4206138741
gross_mig,without,linear,0.5422739606478743,5,836,750424.6642675622
net_algo,without,linear,0.5990759588343937,5,1005,833261.1824929485
net_mig,without,linear,0.6563097988975592,5,732,1022138.7043601531
net_mig,with,floor,0.6934310373090038,6,732,184959.2757232699
net_algo,with,floor,0.7035233503336844,6,1005,169775.90601719465
gross_mig,with,floor,0.722553368965417,6,836,139268.74913553143
raw,with,floor,0.7497682982251743,6,1005,103285.34933840163
raw,with,linear,0.7868595946339367,5,1005,2555647.10306937
gross_mig,with,linear,0.8943278609388832,5,836,3752123.321337811
net_mig,without,floor,0.9658711569276188,6,732,36991.855144653986
net_algo,without,floor,0.9835208162632437,6,1005,33955.18120343892
net_algo,with,linear,1.018457961436005,5,1005,4166305.9124647425
net_mig,with,linear,1.0756918014991705,5,732,5110693.521800766
gross_mig,without,floor,1.1086497314325474,6,836,27853.749827106294
raw,without,floor,1.2105930985060291,6,1005,20657.06986768033
raw,without,geomean,1.8111017961188587,5,1005,52809664.37848826
gross_mig,without,geomean,2.057289563287687,5,836,89609641.5706453
net_algo,without,geomean,2.100923077006285,5,1005,89822805.59586981
net_mig,without,geomean,2.2197324151652427,5,732,139533902.315906
raw,with,geomean,2.5100718004548774,5,1005,264048321.89244124
gross_mig,with,geomean,2.756259567623706,5,836,448048207.8532265
net_algo,with,geomean,2.7998930813423035,5,1005,449114027.97934896
net_mig,with,geomean,2.9187024195012614,5,732,697669511.57953
raw,without,power,3.2129655061757014,6,1005,5247090722.315548
net_algo,without,power,3.432379036303374,6,1005,8827541571.679808
gross_mig,without,power,3.460553363396306,6,836,11800738169.27398
net_mig,without,power,3.6323142682023644,6,732,17446439191.92675
raw,with,power,3.6789455090663807,6,1005,26235453611.577736
net_algo,with,power,3.8983590391940535,6,1005,44137707858.39904
gross_mig,with,power,3.9265333662869857,6,836,59003690846.36989
net_mig,with,power,4.098294271093043,6,732,87232195959.63376
