region,migration,n_points,power_geomean_yr,power_median_yr,linear_geomean_yr,linear_median_yr,geomean_geomean_yr,geomean_median_yr,floor_geomean_yr,floor_median_yr,W_median
AlNafudDesert,ENE,18,759281923.2144921,1058680685.1581786,1770198.6668563485,1728521.8913189552,36661694.563159764,41493049.45723157,189033.59207074018,186831.6980249685,1086.7490053555778
AlNafudDesert,NE,6,1748774386.4506528,2044885278.9022994,1875368.858743419,1856761.1116424594,57267766.02345934,63349763.44254553,159811.82499871714,138280.06596224813,1234.1510273685049
AlNafudDesert,E,3,378198466.09272516,194837403.4915509,1274960.1989616526,1747891.1187979833,21958779.373557445,18454120.60144132,153396.34385598468,115072.93824578711,706.7196482413133
Chad,SW,79,87901255700.86247,242373632726.25583,1010333.0341114216,1143624.252866383,298009299.14091116,503114160.77752113,25057.461075106665,24854.38338322342,4750.275890749289
Chad,W,14,76786217594.07753,402728515839.36914,873902.8929145468,1413651.7044730098,259043814.23116454,750174318.1078287,21652.911099074616,25341.936699998074,5385.368174828472
Chad,NW,4,196720278.30238408,135488997.6927747,219372.357827391,213223.44419759882,6569245.868716919,4986040.601793045,18792.029864550106,20546.3257711497,1156.1909841433514
GrandErgOccidental,W,17,80270687274.05725,89507928905.4861,930581.209120623,929986.0798258259,273310067.909025,283346006.3599731,22980.87917190538,21754.336427314167,4042.345405772257
GrandErgOccidental,NW,14,49356586489.32234,25397830655.029297,830119.7216740121,689946.1946705953,202415107.73481205,130968434.16984105,22639.851205533872,21792.018884908444,3231.5889791825184
GrandErgOccidental,SW,2,49463526317.3961,63833809627.134315,1053092.5363800374,1057085.5542372186,228231615.66243967,248265294.0804962,30507.6461915055,30623.75419358036,3445.602523026032
GrandErgOrientalAlgeria,NW,14,5755133975.412918,11065133054.12645,423219.6873993448,532847.2000829543,49352669.65439264,76285769.33239588,19051.764150233626,17622.34458347241,2838.5604154299094
GrandErgOrientalAlgeria,SE,12,445504429984.9171,280639842599.11993,1680672.6286092822,1180185.273225343,865301740.0882984,650191065.7505124,30907.082870415827,21563.32524132564,5262.955257352125
GrandErgOrientalAlgeria,W,8,443653409866.03784,287644248972.6134,1338403.4444093455,1217240.2003837521,770575922.2092657,604957298.128322,23206.12189612677,21069.34021704143,5247.427510615747
GrandErgOrientalAlgeria,E,4,2039582819297.2493,2451907618955.4873,9359490.821165849,10076242.201990137,4369148278.122435,4123102136.78864,181232.02840705594,166627.20985856967,5744.15183231101
GrandErgOrientalAlgeria,NE,2,110852155590.82234,731118646067.6338,965259.6238065481,1055751.9180500153,327110241.3617502,770691377.6810342,22194.85180920841,22395.308513544296,4925.404345317738
GrandErgOrientalAlgeria,SW,2,678952637405.8938,915699341607.4768,2461901.0088635613,2570166.5593839996,1292870520.5859346,1496417510.5251875,44783.194717940845,45362.10841747952,5390.057519830379
Karakum,SE,9,3005036733.2850947,931700254.9174308,704528.6115650465,512887.33278165245,46012328.31973738,21024486.33672264,39060.05931123656,38141.00226086631,1500.020596660248
Karakum,NW,4,369008115.9303204,360382378.77484304,536375.3324243773,629756.4248447112,14068647.797475694,15235907.517245527,49555.981655734,51381.41397033746,1082.113572277971
Karakum,W,3,1159430736.1586592,1537843068.4332793,208443.0633515567,227799.837534833,15545909.249344751,19245000.65685933,10713.678154110861,10379.452922387205,2034.6102002462312
Karakum,SW,2,23865699.77171804,23875176.48711873,240353.3732409653,242491.1525742315,2395036.8358103693,2398344.2505519567,39792.55788864387,40472.98909283019,685.8389413654706
Karakum,E,1,33288118692.97548,33288118692.975517,4165084.4486839655,4165084.448683965,372354435.3086964,372354435.3086966,193792.9854261684,193792.98542616836,2155.7698058134747
LencoisMaranhensesBrazil,W,1,274661.7172506108,274661.71725061076,33726.836572081374,33726.83657208139,96246.92644608748,96246.9264460875,13726.11192910735,13726.111929107361,344.0603625344112
LutDesert,NW,6,16783728816.983105,18454347502.82722,543187.1543839287,536227.2375801638,95481442.67892371,103007392.65112147,17578.59949511262,16754.834372014193,3065.083785993367
Namib,NE,7,9255168.239162676,15728534.218017979,115837.72778228341,120791.10608705416,1035421.4886061432,1128636.8159570138,21243.081148390596,14239.74211159339,777.4937980575498
Namib,SW,1,18362165574.548473,18362165574.548447,844403.5336590387,844403.5336590388,124519386.02796398,124519386.02796379,30005.231865368627,30005.231865368612,2788.6380215858344
RegistanDesert,E,12,301516524.73090595,50566011849.59756,602389.6703239783,1793347.5340690427,47349009.23657987,361011812.1329454,40786.43504504474,46063.04669055684,3064.7314577378447
RegistanDesert,SE,4,10648770115.555967,15261795633.234726,514997.9342281207,549617.075568418,74054673.1245334,86097472.123599,18599.05546408729,18819.90964583176,2846.391269981299
RegistanDesert,NE,3,5879969102.044987,4204139831.0926104,1945836.6593182606,1170491.7512199103,106964757.90847129,70149205.22193368,118821.20101969663,99885.38464261711,1753.7854770784784
RubAlKhali,SE,40,339875073142.0711,346031680521.642,4635139.954884043,4075227.2654167833,1255136857.553769,1206511319.985765,119661.16689709412,89966.04547846882,4028.35787364336
