region,n_groups_used,n_points_used,n_groups_total,power_yr,linear_yr,geomean_yr,floor_yr
AlNafudDesert,3,27,3,845842536.3102949,1728843.9205099954,38240420.0631846,177931.09907973924
Chad,3,97,3,67025002912.86421,929008.5459101759,249533165.12180403,24245.45966776286
GrandErgOccidental,2,31,3,64442291897.12101,883788.122730354,238648972.71976256,22826.235029176783
GrandErgOrientalAlgeria,4,38,6,105231356589.59886,1154811.713317876,348600635.68215084,29329.450691345504
Karakum,3,16,5,1487974146.3995645,523745.5278446644,27916299.982720662,32526.49469820992
LencoisMaranhensesBrazil,1,1,1,274661.7172506108,33726.836572081374,96246.92644608748,13726.11192910735
LutDesert,1,6,1,16783728816.983105,543187.1543839287,95481442.67892371,17578.59949511262
Namib,1,7,2,9255168.239162676,115837.72778228341,1035421.4886061432,21243.081148390596
RegistanDesert,3,19,3,1020699033.1158947,701376.3541661731,59168085.08763423,40930.204317348725
RubAlKhali,2,45,4,337546741178.9901,4728158.102208514,1263318787.630232,122892.70101108297
Taklamakan,5,202,7,17061683823.013878,619948.015315142,102846278.61041903,23510.52298014324
Tengger,1,32,3,4810350169.336419,914069.6681574914,66309842.27855392,48267.56838825643
Thar,2,31,3,1162210625.6463797,543483.9184250907,25132504.54812598,37567.76998535804
WesternSahara,4,173,7,16760950.811634254,170318.64410667727,1891287.4884607755,37077.311380424406
WhiteSands,1,1,1,486.53161234902814,,,59206.03389338631
