region,wavelength_source,fft_confidence,incip_real,l0_m,Qr_m2s,t0_years,intermittency_frac,modern_used,W_modern_l0,age_power_years,age_linear_years,age_geomean_years,age_floor_years,flagged_W_gt_5000,linear_unphysical
AlNafudDesert,fft,high,50.94401612,1.173041426696447,2.71e-06,0.007313143907694785,0.01383819951,1802.0,1536.1776310618834,19640936694.05625,9123410.109820714,423311138.9993198,608937.9361219333,False,False
AlNafudDesert,fft,high,50.83155645,1.1704519203757857,2.72e-06,0.007286257349210613,0.012203467150000001,2409.3,2058.435684591358,94076910487.75325,14082595.868137108,1151020030.6345406,687970.4252828873,False,False
AlNafudDesert,fft,high,50.47875744,1.1623283391282322,2.78e-06,0.007128999996349952,0.015092761560000001,1802.0,1550.3364577271973,18368111751.466053,8235377.302229392,388932295.65418774,544262.4879482696,False,False
AlNafudDesert,fft,high,51.22076736,1.1794139252573166,2.67e-06,0.007422704116049763,0.0147886253,1271.7,1078.2474013290534,3251027858.906885,5882350.790487993,138288417.07004747,578339.4834823965,False,False
AlNafudDesert,fft,high,51.80123704,1.1927798715144258,2.58e-06,0.007681635654981733,0.011367092459999999,1513.8,1269.136104785192,9785821031.005117,9481646.449879272,304607444.4884491,778668.8670568925,False,False
AlNafudDesert,fft,high,55.42333555,1.2761826325727048,2.13e-06,0.00930451642716097,0.0073753041399999995,1347.7,1056.0400726368769,7373777744.4408,14446130.550573012,326377934.22212476,1453658.431963955,False,False
AlNafudDesert,fft,high,53.81474938,1.2391431849685695,2.32e-06,0.008542508616315891,0.00942822384,711.4,574.1063733631755,261502287.0146573,5088688.099648812,36478809.958144665,1044008.5126427653,False,False
AlNafudDesert,fft,high,57.04840271,1.3136015729121093,1.95e-06,0.010163394866591215,0.01030261557,951.1,724.0399369281483,894944331.0843881,7331053.643089513,80999289.49539317,1136684.1473457708,False,False
AlNafudDesert,fft,high,51.64622671,1.189210589928389,2.61e-06,0.007593340992280792,0.015206812649999998,2024.0,1701.9693712295984,30777110741.937023,9622652.534985881,544203493.8333651,575364.6912289356,False,False
AlNafudDesert,fft,high,51.73569121,1.191270607428216,2.59e-06,0.00765197683005902,0.01277372263,1513.8,1270.7440195037457,8728974295.914042,8416620.30157618,271050663.66073847,690247.216233349,False,False
AlNafudDesert,fft,high,53.79970621,1.238796799603951,2.32e-06,0.008542508616315891,0.00881995134,671.2,541.8160591104091,210063149.67565048,5061005.207280098,32605685.000719212,1116009.0989868727,False,False
AlNafudDesert,fft,high,51.84286006,1.1937382868590112,2.58e-06,0.007681635654981733,0.01573905109,753.9,631.5454637747083,225527298.3603335,3080496.439032693,26357845.881324805,562371.9598434281,False,False
AlNafudDesert,fft,high,52.66393346,1.2126443956803057,2.46e-06,0.008056349589371082,0.01513077859,1802.0,1486.0085994039991,16797296904.801537,8868598.611613369,385964355.8785972,613515.4813845508,False,False
AlNafudDesert,fft,high,53.43915155,1.2304946360726703,2.36e-06,0.008397720334683417,0.01075881995,1347.7,1095.250609382102,5461633073.096502,9308404.86596123,225475257.7860956,899384.2271606121,False,False
AlNafudDesert,fft,high,52.83147124,1.2165021354394527,2.44e-06,0.008122385241742977,0.00996046229,1008.0,828.605203915953,1439710971.3838446,7092404.729464426,101049556.6665416,939620.7254828963,False,False
AlNafudDesert,fft,high,55.8861931,1.2868404315088995,2.07e-06,0.009574212555484475,0.009618309,1604.3,1246.6969180622182,13199511015.923908,13695962.39125666,425182321.43055034,1146972.0603258803,False,False
AlNafudDesert,fft,high,58.21667662,1.3405023514241636,1.84e-06,0.010770989124920034,0.00824969586,1008.0,751.9569055056787,1427645053.7778778,10143974.593306258,120341161.51085688,1504409.7821933012,False,False
AlNafudDesert,fft,high,58.7261782,1.352234179925856,1.79e-06,0.011071854742934562,0.0082877129,1700.3,1257.4005488407554,18478416452.803356,18554317.341148525,585537704.0184633,1539338.6736360448,False,False
AlNafudDesert,fft,high,53.46205279,1.231021962053006,2.36e-06,0.008397720334683417,0.01524482968,1428.4,1160.3367316191677,5125173778.485281,7003330.676590398,189455236.78622,634727.521986387,False,False
AlNafudDesert,fft,high,53.95682428,1.2424146141978862,2.3e-06,0.00861679129993603,0.01110097324,1008.0,811.3233605600926,1235022073.0120628,6588687.48919814,90206288.48000637,894402.527315962,False,False
AlNafudDesert,fft,high,52.77271913,1.2151493041516037,2.45e-06,0.008089232648919538,0.01003649635,1008.0,829.5276938859528,1430808723.0552678,7018946.442092187,100213620.81076224,928696.2547667888,False,False
AlNafudDesert,fft,high,54.98507829,1.266091282092611,2.18e-06,0.009091110087088471,0.00908607056,1347.7,1064.457214943069,6081837455.477913,11559158.440694153,265143211.79018965,1152893.8189236112,False,False
AlNafudDesert,fft,high,56.68719053,1.3052842692670796,1.99e-06,0.00995910552253913,0.009048053529999999,1513.8,1159.7473712373799,10215176544.521692,13985795.39974503,377978000.84655035,1268275.7008303031,False,False
AlNafudDesert,fft,high,58.32410052,1.3429759036588456,1.83e-06,0.010829846988990637,0.00908607056,1199.9,893.4635362637222,3052553106.4244742,11302488.590321071,185745650.4382048,1373392.6367505312,False,False
AlNafudDesert,fft,high,58.44654525,1.345795326855327,1.81e-06,0.010949513806548544,0.009048053529999999,951.1,706.7196482413133,974187017.4577544,8739455.593989916,92270603.0072066,1394402.566106245,False,False
AlNafudDesert,fft,high,52.6000642,1.2111737364433903,2.47e-06,0.008023732789414114,0.01330596107,1700.3,1403.8448397939408,14367015333.54508,9444201.00660388,368354422.6352655,694830.2343395938,False,False
AlNafudDesert,fft,high,53.5038771,1.2319850123189573,2.36e-06,0.008397720334683417,0.0141803528,1271.7,1032.2365834680793,3093001284.308103,6610624.318480205,142991851.1913796,682374.6279352743,False,False
Chad,fft,high,18.34587458,0.4224337327592162,6.34e-07,0.031259652980840484,0.08078619221,1802.0,4265.757822486978,2223808610274.6177,19466877.517672114,6579560003.447086,445856.9215749787,False,False
Chad,fft,high,19.59450137,0.4511847238020677,5.19e-07,0.0381861656837242,0.042883211680000005,1513.8,3355.1667867728956,1564408189354.0593,34982348.13573514,7397747759.039825,1026046.983330185,False,False
Chad,physics_colI,,17.88026035,0.41171245826521446,6.83e-07,0.02901701316230288,0.09922445255,951.1173591,2310.1495716394256,81431956636.48643,7788730.442789674,796399120.8373667,336963.21591695317,False,False
Chad,physics_colI,,16.84306044,0.38782980128485567,8.11e-07,0.02443726262620575,0.1467837591,597.5906703,1540.858047319262,6281066752.328268,2883568.981998381,134580419.30710092,191832.88117185936,False,False
Chad,fft,high,16.59316888,0.38207577609431487,8.46e-07,0.023426264763419462,0.1256462895,2024.0,5297.378495674058,3120987770892.6855,11708588.015279768,6045027709.622911,214833.43803235696,True,False
Chad,fft,high,17.58090115,0.40481938681526164,7.18e-07,0.027602534804809006,0.09451034063,1008.0,2489.9993252052386,117743510089.63115,8414531.24614812,995367492.2762737,336525.62291891,False,False
Chad,fft,high,17.63809892,0.40613642773262104,7.11e-07,0.027874289718499107,0.08781934307,671.2,1652.646633416205,16920281718.254831,5927120.071574112,316683661.38618,365731.295798162,False,False
