region,wavelength_source,fft_confidence,incip_real,l0_m,Qr_m2s,t0_years,intermittency_frac,modern_used,W_modern_l0,age_power_years,age_linear_years,age_geomean_years,age_floor_years,flagged_W_gt_5000,linear_unphysical
AlNafudDesert,physics_colI,,50.94401612,1.173041426696447,2.71e-06,0.007313143907694785,0.01383819951,671.2145829,572.2002374547792,150042913.00524268,2955879.212492067,21059646.899555378,608937.9361219333,False,False
AlNafudDesert,physics_colI,,50.83155645,1.1704519203757857,2.72e-06,0.007286257349210613,0.012203467150000001,563.8648481,481.74968854676695,72506036.33679217,2685703.8653584775,13954559.901750574,687970.4252828873,False,False
AlNafudDesert,physics_colI,,50.47875744,1.1623283391282322,2.78e-06,0.007128999996349952,0.015092761560000001,1700.286015,1462.8276346382863,13788581090.377823,7734960.712159466,326579443.6434991,544262.4879482696,False,False
AlNafudDesert,physics_colI,,51.22076736,1.1794139252573166,2.67e-06,0.007422704116049763,0.0147886253,473.6839381,401.6265434517867,24834824.932013843,1770856.629426656,6631660.001199331,578339.4834823965,False,False
AlNafudDesert,physics_colI,,51.80123704,1.1927798715144258,2.58e-06,0.007681635654981733,0.011367092459999999,473.6839381,397.1260325667485,31628227.16374885,2347438.4712250414,8616572.243115526,778668.8670568925,False,False
AlNafudDesert,physics_colI,,55.42333555,1.2761826325727048,2.13e-06,0.00930451642716097,0.0073753041399999995,2706.152597,2120.5057394838263,230175196669.77954,30704069.323460497,2658442249.7188206,1453658.431963955,False,False
AlNafudDesert,physics_colI,,53.81474938,1.2391431849685695,2.32e-06,0.008542508616315891,0.00942822384,1428.353227,1152.6942522273807,8159431325.177934,11435342.129065173,305460126.33733606,1044008.5126427653,False,False
AlNafudDesert,physics_colI,,57.04840271,1.3136015729121093,1.95e-06,0.010163394866591215,0.01030261557,597.5906703,454.9253614055955,90288878.54560739,4117034.3676965027,19280104.14891582,1136684.1473457708,False,False
AlNafudDesert,physics_colI,,51.64622671,1.189210589928389,2.61e-06,0.007593340992280792,0.015206812649999998,502.0158696,422.1421116256878,31594719.978727218,1885769.7637975242,7718832.01213327,575364.6912289356,False,False
AlNafudDesert,physics_colI,,51.73569121,1.191270607428216,2.59e-06,0.00765197683005902,0.01277372263,502.0158696,421.4121178426293,37580790.05741204,2257005.4949323176,9209780.109398747,690247.216233349,False,False
AlNafudDesert,physics_colI,,53.79970621,1.238796799603951,2.32e-06,0.008542508616315891,0.00881995134,334.2842646,269.84592203246905,6731240.62436687,1871961.957098257,3549736.099048646,1116009.0989868727,False,False
AlNafudDesert,physics_colI,,51.84286006,1.1937382868590112,2.58e-06,0.007681635654981733,0.01573905109,753.9090529,631.5530474302714,225540665.66722864,3080541.24890557,26358818.712027255,562371.9598434281,False,False
AlNafudDesert,physics_colI,,52.66393346,1.2126443956803057,2.46e-06,0.008056349589371082,0.01513077859,3039.553957,2506.5501212288864,221791843844.2756,15447110.424572522,1850957347.7344286,613515.4813845508,False,False
AlNafudDesert,physics_colI,,53.43915155,1.2304946360726703,2.36e-06,0.008397720334683417,0.01075881995,3414.030779,2774.5190258581306,536773964332.3954,25176940.096842013,3676183611.510874,899384.2271606121,False,False
AlNafudDesert,physics_colI,,52.83147124,1.2165021354394527,2.44e-06,0.008122385241742977,0.00996046229,3414.030779,2806.432212111741,593354591716.8251,26618362.434847903,3974182629.7617035,939620.7254828963,False,False
AlNafudDesert,physics_colI,,55.8861931,1.2868404315088995,2.07e-06,0.009574212555484475,0.009618309,597.5906703,464.38599197515754,100848287.81346063,4268307.241758948,20747324.57916405,1146972.0603258803,False,False
AlNafudDesert,physics_colI,,58.21667662,1.3405023514241636,1.84e-06,0.010770989124920034,0.00824969586,502.0158696,374.4983133126571,45743625.33793803,4177649.4374996126,13823922.405100148,1504409.7821933012,False,False
AlNafudDesert,physics_colI,,58.7261782,1.352234179925856,1.79e-06,0.011071854742934562,0.0082877129,1428.353227,1056.2913201013139,7817570143.096915,15301665.087768903,345863904.05737716,1539338.6736360448,False,False
AlNafudDesert,physics_colI,,53.46205279,1.231021962053006,2.36e-06,0.008397720334683417,0.01524482968,446.9509568,363.073097456855,16562892.604520885,1686403.1772067023,5285046.330165651,634727.521986387,False,False
AlNafudDesert,physics_colI,,53.95682428,1.2424146141978862,2.3e-06,0.00861679129993603,0.01110097324,1008.005486,811.3277761552871,1235055249.8660297,6588728.9840026945,90207784.15212847,894402.527315962,False,False
AlNafudDesert,physics_colI,,52.77271913,1.2151493041516037,2.45e-06,0.008089232648919538,0.01003649635,1909.763363,1571.6285698187219,33525052292.204742,14260105.578706272,691426630.3943523,928696.2547667888,False,False
AlNafudDesert,physics_colI,,54.98507829,1.266091282092611,2.18e-06,0.009091110087088471,0.00908607056,532.0423875,420.2243511389115,61901359.24370532,3755403.1965080574,15246788.592093894,1152893.8189236112,False,False
AlNafudDesert,physics_colI,,56.68719053,1.3052842692670796,1.99e-06,0.00995910552253913,0.009048053529999999,799.0017781,612.1285584393364,435962821.5915454,6688473.827860998,53999314.08949085,1268275.7008303031,False,False
AlNafudDesert,physics_colI,,58.32410052,1.3429759036588456,1.83e-06,0.010829846988990637,0.00908607056,597.5906703,444.97497585169276,97809863.3050662,4830801.09018988,21737064.98783672,1373392.6367505312,False,False
